ds,yhat,yhat_lower,yhat_upper
2015-10-08,1558.0688404044108,-1254.997493641697,4249.191931979876
2015-10-09,1763.8127202013504,-1030.447512386267,4454.31961381406
2015-10-10,1315.3088629286149,-1410.3450469261506,3930.955912083373
2015-10-11,1455.5168625234542,-1084.0879412267689,4201.261148486937
2015-10-12,1630.380017003763,-1041.4346242576578,4488.4712621538965
2015-10-13,1022.9348284829667,-1711.9797064495847,3890.071083003444
2015-10-15,1332.5229970572882,-1366.9617461073974,4027.541008100014
2015-10-16,1601.8486367124128,-970.4374629839708,4253.719944071188
2015-10-17,1219.1949871661793,-1482.8055507904728,3942.705934241562
2015-10-18,1426.7457679094553,-1357.5421791161166,4225.4628418569955
2015-10-19,1669.6446514078077,-1308.991777023347,4307.711715685998
2015-10-20,1130.1141121053215,-1592.2267940681775,3838.751121255899
2015-10-22,1571.8991085606713,-1291.9166961251005,4212.59897932995
2015-10-23,1903.896287764865,-875.5102794610868,4797.756263722343
2015-10-24,1580.5926629591959,-1109.0632867001125,4483.678037455904
2015-10-25,1843.4376588205434,-1166.3133300747336,4672.354247696734
2015-10-26,2136.8879273585267,-551.1623919956762,4818.277204493002
2015-10-28,866.1567657062961,-2095.7196426928967,3639.838904652376
2015-10-29,2156.390012455696,-823.9222477082794,4792.529117660302
2015-10-30,2514.390583827175,-142.0412776152188,5336.397686594934
2015-10-31,2209.9617540123854,-461.6608810939858,4866.333610016492
2015-11-01,2484.3444047042935,-468.2593378236977,5126.993612567933
2015-11-02,2781.8911683364195,-87.34284176876182,5730.0406281084215
2015-11-03,2284.199302863959,-547.7444501672884,4890.2186969077875
2015-11-05,2769.632205704915,134.31989049439423,5358.848922993005
2015-11-06,3103.113872985934,369.5863197066284,5874.88694715119
2015-11-07,2767.8475128954515,-195.66246520202037,5407.913389356789
2015-11-08,3005.6169423883975,246.82072882481802,5670.410773012314
2015-11-09,3261.4114810359642,504.8814027726978,6218.563954943587
2015-11-10,2717.5495728757105,-80.65914149028676,5397.527502114511
2015-11-11,1880.7143032409529,-870.6270057363186,4672.202155822698
2015-11-12,3100.6276006286516,450.6449016070201,5824.136716652927
2015-11-13,3379.680458360542,554.3435554004245,6011.321145144193
2015-11-14,2989.0491904958626,468.6411948568671,5871.222484230834
2015-11-15,3171.461953959775,555.234275080523,5931.841776669247
2015-11-16,3372.847850047037,442.6266833746506,5968.909434960115
2015-11-17,2776.442334310063,86.62743499899096,5479.585794015514
2015-11-19,3063.4729074503553,351.97942093455487,5863.016953919777
2015-11-20,3300.755641891807,627.6338369576209,5956.012597202964
2015-11-21,2873.3003619796673,112.6906816026769,5701.216468145658
2015-11-22,3024.375752333299,164.04209852509138,5817.237250014351
2015-11-23,3200.3313082623013,331.99462368000724,6093.002387428824
2015-11-24,2584.6921679639977,-15.332091109635023,5301.296678770126
2015-11-25,1685.1683063467772,-1006.4614749147299,4328.652698931362
2015-11-26,2852.3055409987646,87.92546575580101,5578.842349182739
2015-11-27,3089.096302769061,427.99195763471954,5894.2174217587035
2015-11-28,2667.080742477174,-269.06355285446006,5303.003544738429
2015-11-29,2829.102886236983,97.34235211927465,5452.9059221076795
2015-11-30,3020.954540597517,134.87271765452851,5949.860738855032
2015-12-01,2425.4809588979406,-295.8746828720814,5216.167150950322
2015-12-03,2742.9894828107563,-126.89799486633966,5419.561620829681
2015-12-04,3007.6779232537433,153.29592825934742,5812.233862811121
2015-12-05,2614.2062724855286,-153.2757570171565,5325.50620501829
2015-12-06,2804.387496200411,-9.905293614266162,5689.434309918
2015-12-07,3022.9786526830803,180.43292165186733,5748.657987399458
2015-12-08,2451.8114504660716,-315.92741058608414,5236.458054265575
2015-12-09,1596.8402924378174,-1031.8739834484838,4575.933145071726
2015-12-10,2806.834427965953,-82.44647122340011,5495.640731692054
2015-12-11,3083.0312555283,442.7110213311334,5859.78504273876
2015-12-12,2695.2803766476727,-26.689926578572155,5498.771896715129
2015-12-13,2884.8421041322845,483.5404673008332,5644.202683477236
2015-12-14,3096.072101766843,297.50526511945856,5760.46843240505
2015-12-15,2510.565153096911,-377.23818791044755,5124.002437207136
2015-12-16,1634.2127393723779,-1314.3905525830044,4212.299677610145
2015-12-17,2815.900728312828,197.02721315161713,5654.290038705898
2015-12-18,3057.1639870787094,409.4185693490942,5678.9851669386435
2015-12-19,2628.3273898980697,-212.50061503906397,5229.785490369579
2015-12-20,2771.296897690347,183.3703271179705,5642.664534882027
2015-12-21,2931.2324691907047,120.03152457973167,5691.186242150898
2015-12-22,2290.6759919814785,-611.7670187891979,5052.426154289619
2015-12-23,1356.5892106647505,-1243.1785318443078,4065.240105313873
2015-12-24,2479.0283522749573,-210.71270834637463,5280.947503074465
2015-12-25,2660.7727543151523,-110.4456023705221,5323.173216458985
2015-12-26,2173.4375411326087,-569.7935080137403,4715.390936727612
2015-12-27,2260.2346718091458,-331.6942112671735,4864.9412320555275
2015-12-28,2367.6148206595353,-273.91546724849155,5099.405165748211
2015-12-29,1679.364019569545,-1117.0035218654461,4544.68735832752
2015-12-30,703.6108015923337,-2345.406907209652,3281.1615415308893
2015-12-31,1791.6271251173875,-948.313545671709,4512.555730880148
2016-01-02,1441.9971346306165,-1425.769279005502,4090.528295751333
2016-01-03,1520.5301910981952,-1118.3940447676518,4125.807820759248
2016-01-04,1629.3998482178915,-1132.9911162014293,4437.943597318709
2016-01-05,952.5692034610197,-1790.1060549252995,3712.5973320556495
2016-01-07,1116.9192834325224,-1870.6370231038202,3705.2084716873132
2016-01-08,1312.1739331859155,-1437.3917042003573,3998.414263464652
2016-01-09,855.5752309019194,-1953.5916955990403,3389.6662784927316
2016-01-10,990.0269673914743,-1626.5394582699878,3800.764844380659
2016-01-11,1161.2927255950763,-1858.4700298612054,4055.92104825843
2016-01-14,861.9018034940248,-1764.852775939321,3636.0776152150174
2016-01-15,1131.9642387177082,-1646.9480440212035,3947.858033474085
2016-01-16,749.4820908977299,-2004.4228426024456,3474.58742533172
2016-01-17,955.7942974003838,-1650.6324358975178,3754.83761343787
2016-01-21,1063.4146523657414,-1604.7531360541725,3667.016892219794
2016-01-22,1373.2305625269112,-1361.2104531746695,3860.9152698365942
